"Date","Patch","Prey","Pred","frat","fcnt","tObs","htime","Density","avgTemp","att","frate"
2013-08-19,"A","Adula_californiensis","Nucella_canaliculata",0,0,1,NA,0,12.22,NA,NA
2013-08-19,"A","Adula_californiensis","Nucella_ostrina",0,0,36,NA,0,12.22,NA,NA
2013-08-19,"A","Balanus_glandula","Nucella_canaliculata",0,0,1,NA,101683.2,12.22,NA,NA
2013-08-19,"A","Balanus_glandula","Nucella_ostrina",0.2,6,36,13.3382406919447,101683.2,12.22,1.47462720024032e-07,0.0149944812527476
2013-08-19,"A","Chthamalus_dalli","Nucella_canaliculata",0,0,1,NA,819.2,12.22,NA,NA
2013-08-19,"A","Chthamalus_dalli","Nucella_ostrina",0,0,36,NA,819.2,12.22,NA,NA
2013-08-19,"A","Hiatella_arctica","Nucella_canaliculata",0,0,1,NA,0,12.22,NA,NA
2013-08-19,"A","Hiatella_arctica","Nucella_ostrina",0,0,36,NA,0,12.22,NA,NA
2013-08-19,"A","Limpets","Nucella_canaliculata",0,0,1,NA,43.4285714285714,12.22,NA,NA
2013-08-19,"A","Limpets","Nucella_ostrina",0,0,36,NA,43.4285714285714,12.22,NA,NA
2013-08-19,"A","Littorina_sitkana","Nucella_canaliculata",0,0,1,NA,144,12.22,NA,NA
2013-08-19,"A","Littorina_sitkana","Nucella_ostrina",0,0,36,NA,144,12.22,NA,NA
2013-08-19,"A","Modiolus_modiolus","Nucella_canaliculata",0,0,1,NA,0,12.22,NA,NA
2013-08-19,"A","Modiolus_modiolus","Nucella_ostrina",0,0,36,NA,0,12.22,NA,NA
2013-08-19,"A","Mytilus_californianus","Nucella_canaliculata",0,0,1,NA,0,12.22,NA,NA
2013-08-19,"A","Mytilus_californianus","Nucella_ostrina",0,0,36,NA,0,12.22,NA,NA
2013-08-19,"A","Mytilus_trossulus","Nucella_canaliculata",0,0,1,NA,0,12.22,NA,NA
2013-08-19,"A","Mytilus_trossulus","Nucella_ostrina",0,0,36,NA,0,12.22,NA,NA
2013-08-19,"A","Nucella_ostrina","Nucella_canaliculata",0,0,1,NA,4.57142857142858,12.22,NA,NA
2013-08-19,"A","Nucella_ostrina","Nucella_ostrina",0,0,36,NA,4.57142857142858,12.22,NA,NA
2013-08-19,"A","Pollicipes_polymerus","Nucella_canaliculata",0,0,1,NA,0,12.22,NA,NA
2013-08-19,"A","Pollicipes_polymerus","Nucella_ostrina",0,0,36,NA,0,12.22,NA,NA
2013-08-19,"A","Semibalanus_cariosus","Nucella_canaliculata",0,0,1,NA,0,12.22,NA,NA
2013-08-19,"A","Semibalanus_cariosus","Nucella_ostrina",0,0,36,NA,0,12.22,NA,NA
2013-08-19,"AB","Adula_californiensis","Nucella_canaliculata",0,0,136,NA,0,12.22,NA,NA
2013-08-19,"AB","Adula_californiensis","Nucella_ostrina",0,0,126,NA,0,12.22,NA,NA
2013-08-19,"AB","Balanus_glandula","Nucella_canaliculata",0.20353982300885,23,136,10.4686686515235,103367.111111111,12.22,1.88094267431816e-07,0.0194427610409876
2013-08-19,"AB","Balanus_glandula","Nucella_ostrina",0.223300970873786,23,126,12.1842779442973,103367.111111111,12.22,1.77299877290091e-07,0.0183269761158312
2013-08-19,"AB","Chthamalus_dalli","Nucella_canaliculata",0,0,136,NA,113.777777777778,12.22,NA,NA
2013-08-19,"AB","Chthamalus_dalli","Nucella_ostrina",0,0,126,NA,113.777777777778,12.22,NA,NA
2013-08-19,"AB","Hiatella_arctica","Nucella_canaliculata",0,0,136,NA,0,12.22,NA,NA
2013-08-19,"AB","Hiatella_arctica","Nucella_ostrina",0,0,126,NA,0,12.22,NA,NA
